省份,合计(GW),集中式(GW),工商业分布式(GW),户用(GW),数据时间
北京市,1.93,0.08,1.18,0.60,2025年9月
天津市,9.88,4.55,3.53,0.70,2025年9月
河北省,81.52,47.03,22.49,22.75,2025年9月
山西省,48.35,33.46,7.46,7.44,2025年9月
内蒙古自治区,50.91,46.33,0.46,1.75,2025年9月
辽宁省,15.12,6.09,4.71,4.31,2025年9月
吉林省,7.01,4.31,1.14,1.56,2025年9月
黑龙江省,8.64,5.01,2.20,1.44,2025年9月
上海市,5.71,0.54,4.82,0.36,2025年9月
江苏省,86.12,24.51,40.40,21.20,2025年9月
浙江省,61.06,10.26,44.84,5.96,2025年9月
安徽省,54.38,15.91,20.68,17.79,2025年9月
福建省,16.34,1.07,9.35,5.92,2025年9月
江西省,28.11,14.01,6.43,7.67,2025年9月
山东省,91.73,31.95,30.70,29.08,2025年9月
河南省,52.58,6.78,19.04,26.76,2025年9月
湖北省,43.63,22.23,17.27,4.13,2025年9月
湖南省,26.17,6.49,8.07,11.61,2025年9月
广东省,58.89,15.78,36.01,7.11,2025年9月
海南省,9.48,5.95,3.23,0.29,2025年9月
重庆市,5.38,1.45,3.56,0.38,2025年9月
四川省,16.39,10.68,4.48,1.23,2025年9月
贵州省,27.68,25.00,1.22,1.46,2025年9月
云南省,52.01,47.22,1.45,3.35,2025年9月
西藏自治区,5.39,5.34,0.05,0.00,2025年9月
陕西省,40.51,27.33,7.16,6.02,2025年9月
甘肃省,36.48,33.70,2.12,0.67,2025年9月
青海省,38.69,38.22,0.40,0.07,2025年9月
宁夏回族自治区,35.30,32.73,2.22,0.36,2025年9月
新疆维吾尔自治区,79.96,79.57,0.32,0.08,2025年9月
广西壮族自治区,29.58,13.32,15.69,0.57,2025年9月
